dataset_id,source,source_accession,title,summary,organism,assay_type,platform,sample_count,publication_date,source_url,raw_data_available,processed_data_available,query_family,query_text,discovered_utc,metadata_complete_flag,direct_trastuzumab_resistance,her2_positive_confirmed,resistant_sensitive_groups_defined,biological_replication,complete_sample_metadata,independent_model_or_cohort,pd1_pdl1_or_tgfb_relevance,phenotype_confidence,eligibility_score,eligibility_category,eligibility_reasons,manual_review_required
SRA:SRR33650052,SRA,SRR33650052,,"<Summary><Title>GSM8997275: JIMT1 RNApolII rep2; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""17158522"" total_bases=""5147556600"" total_size=""1723062406"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877271"" ver=""1"" status=""public"" name=""GSM8997275: JIMT1 RNApolII rep2; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103977"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997275</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634452</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650052,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223181+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650053,SRA,SRR33650053,,"<Summary><Title>GSM8997274: JIMT1 RNApolII rep1; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""17189861"" total_bases=""5156958300"" total_size=""1727849337"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877270"" ver=""1"" status=""public"" name=""GSM8997274: JIMT1 RNApolII rep1; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103976"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997274</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634453</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650053,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223226+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650054,SRA,SRR33650054,,"<Summary><Title>GSM8997273: JIMT1 CTCF rep2; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""28669035"" total_bases=""8600710500"" total_size=""2776889326"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877269"" ver=""1"" status=""public"" name=""GSM8997273: JIMT1 CTCF rep2; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103975"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997273</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634454</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650054,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223269+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650055,SRA,SRR33650055,,"<Summary><Title>GSM8997272: JIMT1 CTCF rep1; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""25889939"" total_bases=""7766981700"" total_size=""2523890741"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877268"" ver=""1"" status=""public"" name=""GSM8997272: JIMT1 CTCF rep1; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103974"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997272</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634455</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650055,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223310+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650056,SRA,SRR33650056,,"<Summary><Title>GSM8997271: JIMT1 H3K27ac rep2; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""12080998"" total_bases=""3624299400"" total_size=""1225022617"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877267"" ver=""1"" status=""public"" name=""GSM8997271: JIMT1 H3K27ac rep2; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103973"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997271</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634456</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650056,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223349+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650057,SRA,SRR33650057,,"<Summary><Title>GSM8997270: JIMT1 H3K27ac rep1; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""12442893"" total_bases=""3732867900"" total_size=""1257224515"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877266"" ver=""1"" status=""public"" name=""GSM8997270: JIMT1 H3K27ac rep1; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103972"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997270</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634457</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650057,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223388+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650058,SRA,SRR33650058,,"<Summary><Title>GSM8997269: JIMT1 H3K4me3 rep2; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""8887046"" total_bases=""2666113800"" total_size=""898792055"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877265"" ver=""1"" status=""public"" name=""GSM8997269: JIMT1 H3K4me3 rep2; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103971"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997269</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634458</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650058,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223427+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650059,SRA,SRR33650059,,"<Summary><Title>GSM8997268: JIMT1 H3K4me3 rep1; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""19487061"" total_bases=""5846118300"" total_size=""1973427884"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877264"" ver=""1"" status=""public"" name=""GSM8997268: JIMT1 H3K4me3 rep1; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103970"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997268</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634459</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650059,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223467+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650060,SRA,SRR33650060,,"<Summary><Title>GSM8997267: JIMT1 H3K27me3 rep2; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""26050056"" total_bases=""7815016800"" total_size=""2843928748"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877263"" ver=""1"" status=""public"" name=""GSM8997267: JIMT1 H3K27me3 rep2; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103969"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997267</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634460</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650060,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223505+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
SRA:SRR33650061,SRA,SRR33650061,,"<Summary><Title>GSM8997266: JIMT1 H3K27me3 rep1; Homo sapiens; OTHER</Title><Platform instrument_model=""Illumina NovaSeq 6000"">ILLUMINA</Platform><Statistics total_runs=""1"" total_spots=""37912894"" total_bases=""11373868200"" total_size=""4101574516"" load_done=""true"" cluster_name=""public""/></Summary><Submitter acc=""SRA2133745"" center_name=""JSPH"" contact_name=""GEO Group"" lab_name=""""/><Experiment acc=""SRX28877262"" ver=""1"" status=""public"" name=""GSM8997266: JIMT1 H3K27me3 rep1; Homo sapiens; OTHER""/><Study acc=""SRP586721"" name=""Epigenetic and 3D Genome Changes Drive Primary Trastuzumab Resistance in HER2+ Breast Cancer""/><Organism taxid=""9606"" ScientificName=""Homo sapiens""/><Sample acc=""SRS25103968"" name=""""/><Instrument ILLUMINA=""Illumina NovaSeq 6000""/><Library_descriptor><LIBRARY_NAME>GSM8997266</LIBRARY_NAME><LIBRARY_STRATEGY>OTHER</LIBRARY_STRATEGY><LIBRARY_SOURCE>GENOMIC</LIBRARY_SOURCE><LIBRARY_SELECTION>other</LIBRARY_SELECTION><LIBRARY_LAYOUT><PAIRED/></LIBRARY_LAYOUT><LIBRARY_CONSTRUCTION_PROTOCOL>Cell were harvested by ConA conjugated magnetic beads and permeabilized by Digitonin. DNA library was prepared using Hyperactive Universal CUT&amp;Tag Assay Kit for Illumina Pro (Vazyme) following manufacturer's protocol.</LIBRARY_CONSTRUCTION_PROTOCOL></Library_descriptor><Bioproject>PRJNA1265766</Bioproject><Biosample>SAMN48634461</Biosample>",,RAW_SEQUENCING,UNKNOWN,,,https://www.ncbi.nlm.nih.gov/sra/?term=SRR33650061,True,False,trastuzumab_resistance,"(""HER2"" OR ERBB2) AND breast cancer AND trastuzumab resistance",2026-09-01T12:06:30.223544+00:00,False,True,True,False,False,False,True,False,UNRESOLVED,55,EXPLORATORY,+25 direct trastuzumab-resistance wording | +15 HER2/ERBB2 context | +10 raw data available | +5 independent model/cohort,True
